"NO","PACKAGING TYPE","WORK ORDER","PO NO.","ITEM NO.","BRAND","COMPANY","CUSTOMER GROUP","BATERY TYPE","CELL GRADE","ORDER QTY","CR DATE","PRICE","STANDARD PRICE","TERM","CURRENCY","SALES AMOUNT","QTY WH","QTY IN TRANSIT","SALES MOUNT","JAN QTY","JAN AMT","FEB QTY","FEB AMT","MAR QTY","MAR AMT","APR QTY","APR AMT","MAY QTY","MAY AMT","JUN QTY","JUN AMT","JUL QTY","JUL AMT","AUG QTY","AUG AMT","SEP QTY","SEP AMT","OCT QTY","OCT AMT","NOV AMT","NOV AMT","DES AMT","DES AMT"
"16","AUTO SHRINK","FI/17-148-LR6C1-1","'FI/17-148","87600","FJ UNIVERSAL POWER EU LR6 4S","FDK CORPORATION","OVERSEAS - FJ ASIA","LR6","C1","171,200","13-DEC-17","0.1047","0.0991","FOB","USD","17,925","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","684,800","67,864"
"17","AUTO SHRINK","FIAL17-056-LR6C1-1","'FIAL17-056","87594","FJ UNIVERSAL POWER USA LR6 2S","FDK CORPORATION","OVERSEAS - FJ AMERICA","LR6","C1","33,600","11-DEC-17","0.1047","0.0995","FOB","USD","3,518","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67,200","6,686"
"18","AUTO SHRINK","FIAL17-056-LR6G08NC-2","'FIAL17-056","63270","FJ PREMIUM USA LR6 2S","FDK CORPORATION","OVERSEAS - FJ AMERICA","LR6","G08NC","33,600","11-DEC-17","0.1215","0.1117","FOB","USD","4,082","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67,200","7,506"
"19","AUTO SHRINK","FIFJ/1706-LR6C1-2","'FIFJ/1706","69190","FJ LONGLIFE JEE LR6 2S","FDK CORPORATION","DOMESTIC OEM - FUJITSU GENERAL","LR6","C1","40,000","08-DEC-17","0.0937","0.0937","FOB","USD","3,748","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80,000","7,496"
"20","AUTO SHRINK","FIFJ/1708-LR6C1-2","'FIFJ/1708","69190","FJ LONGLIFE JEE LR6 2S","FDK CORPORATION","DOMESTIC OEM - FUJITSU GENERAL","LR6","C1","28,000","04-JAN-18","0.0937","0.0937","FOB","USD","2,624","28,000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","AUTO SHRINK","FITK/17-168-LR6C1-1","'FITK/17-168","90170","FUJITSU E1 LR6 2S","FDK CORPORATION","OVERSEAS OEM - RHYTHM","LR6","C1","30,000","03-DEC-17","0.09","0.09","FOB","USD","2,700","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60,000","5,400"
"22","AUTO SHRINK","FITK/17-172-LR6C1-1","'FITK/17-172","90170","FUJITSU E1 LR6 2S","FDK CORPORATION","OVERSEAS OEM - RHYTHM","LR6","C1","50,000","05-DEC-17","0.09","0.09","FOB","USD","4,500","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","9,000"
"23","AUTO SHRINK","FITK/17-172-LR6C1-2","'FITK/17-172","90170","FUJITSU E1 LR6 2S","FDK CORPORATION","OVERSEAS OEM - RHYTHM","LR6","C1","20,000","05-DEC-17","0.09","0.09","FOB","USD","1,800","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40,000","3,600"
"24","AUTO SHRINK","FITK/17-172-LR6C1-3","'FITK/17-172","90170","FUJITSU E1 LR6 2S","FDK CORPORATION","OVERSEAS OEM - RHYTHM","LR6","C1","20,000","05-DEC-17","0.09","0.09","FOB","USD","1,800","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40,000","3,600"
"25","AUTO SHRINK","","'1MS5MFGW","88680","AMAZON BASICS US LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON USA","LR6","G07NC","3,206,400","17-FEB-18","0.1071","0.1026","FOB","USD","343,405","0","0","2","408,768","41,940","2,797,632","287,037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","AUTO SHRINK","","'2S895EBV","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","13,824","14-MAR-18","0.1071","0.1026","FOB","USD","1,481","0","0","3","0","0","13,824","1,418","13,824","1,418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","AUTO SHRINK","","'4H68EPDH","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","13,824","14-MAR-18","0.1071","0.1026","FOB","USD","1,481","0","0","3","0","0","13,824","1,418","13,824","1,418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","AUTO SHRINK","","'4YC7AQ3D","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","55,296","14-MAR-18","0.1071","0.1026","FOB","USD","5,922","0","0","3","0","0","55,296","5,673","55,296","5,673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","AUTO SHRINK","","'58E6FVLR","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","13,824","12-MAR-18","0.1071","0.1026","FOB","USD","1,481","0","0","3","0","0","13,824","1,418","13,824","1,418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","AUTO SHRINK","","'6KAYPQ5U","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","13,824","08-MAR-18","0.1071","0.1026","FOB","USD","1,481","0","0","3","0","0","13,824","1,418","13,824","1,418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","AUTO SHRINK","","'6MC27JSW","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","13,824","09-MAR-18","0.1071","0.1026","FOB","USD","1,481","0","0","3","0","0","13,824","1,418","13,824","1,418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","AUTO SHRINK","","'7JKOCYSJ","88683","AMAZON BASICS JP LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON JPN","LR6","G07NC","13,824","08-MAR-18","0.1071","0.1026","FOB","USD","1,481","0","0","3","0","0","13,824","1,418","13,824","1,418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
